Published_Date,Currency_iso3,Currency_Name,Unit,Buy_Rate,Sell_Rate
2026-01-02 00:00:33,BHD,Bahrain Dinar,1,381.06,382.66
2026-01-02 00:00:33,OMR,Omani Rial,1,373.60,375.16
2026-01-03 00:00:43,INR,Indian Rupee,100,160.00,160.15
2026-01-03 00:00:43,USD,U.S. Dollar,1,144.02,144.62
2026-01-03 00:00:43,EUR,European Euro,1,168.79,169.49
2026-01-03 00:00:43,GBP,UK Pound Sterling,1,193.51,194.32
2026-01-03 00:00:43,CHF,Swiss Franc,1,181.53,182.29
2026-01-03 00:00:43,AUD,Australian Dollar,1,96.38,96.78
2026-01-03 00:00:43,CAD,Canadian Dollar,1,104.95,105.39
2026-01-03 00:00:43,SGD,Singapore Dollar,1,111.93,112.40
2026-01-03 00:00:43,JPY,Japanese Yen,10,9.18,9.22
2026-01-03 00:00:43,CNY,Chinese Yuan,1,20.59,20.68
2026-01-03 00:00:43,SAR,Saudi Arabian Riyal,1,38.40,38.56
2026-01-03 00:00:43,QAR,Qatari Riyal,1,39.40,39.57
2026-01-03 00:00:43,THB,Thai Baht,1,4.58,4.60
2026-01-03 00:00:43,AED,UAE Dirham,1,39.21,39.38
2026-01-03 00:00:43,MYR,Malaysian Ringgit,1,35.53,35.67
2026-01-03 00:00:43,KRW,South Korean Won,100,9.96,10.00
2026-01-03 00:00:43,SEK,Swedish Kroner,1,15.60,15.67
2026-01-03 00:00:43,DKK,Danish Kroner,1,22.60,22.69
2026-01-03 00:00:43,HKD,Hong Kong Dollar,1,18.48,18.56
2026-01-03 00:00:43,KWD,Kuwaity Dinar,1,468.51,470.46
2026-01-03 00:00:43,BHD,Bahrain Dinar,1,382.02,383.61
2026-01-03 00:00:43,OMR,Omani Rial,1,374.08,375.64
2026-01-04 00:00:31,INR,Indian Rupee,100,160.00,160.15
2026-01-04 00:00:31,USD,U.S. Dollar,1,144.02,144.62
2026-01-04 00:00:31,EUR,European Euro,1,168.79,169.49
2026-01-04 00:00:31,GBP,UK Pound Sterling,1,193.51,194.32
2026-01-04 00:00:31,CHF,Swiss Franc,1,181.53,182.29
2026-01-04 00:00:31,AUD,Australian Dollar,1,96.38,96.78
2026-01-04 00:00:31,CAD,Canadian Dollar,1,104.95,105.39
2026-01-04 00:00:31,SGD,Singapore Dollar,1,111.93,112.40
2026-01-04 00:00:31,JPY,Japanese Yen,10,9.18,9.22
2026-01-04 00:00:31,CNY,Chinese Yuan,1,20.59,20.68
2026-01-04 00:00:31,SAR,Saudi Arabian Riyal,1,38.40,38.56
2026-01-04 00:00:31,QAR,Qatari Riyal,1,39.40,39.57
2026-01-04 00:00:31,THB,Thai Baht,1,4.58,4.60
2026-01-04 00:00:31,AED,UAE Dirham,1,39.21,39.38
2026-01-04 00:00:31,MYR,Malaysian Ringgit,1,35.53,35.67
2026-01-04 00:00:31,KRW,South Korean Won,100,9.96,10.00
2026-01-04 00:00:31,SEK,Swedish Kroner,1,15.60,15.67
2026-01-04 00:00:31,DKK,Danish Kroner,1,22.60,22.69
2026-01-04 00:00:31,HKD,Hong Kong Dollar,1,18.48,18.56
2026-01-04 00:00:31,KWD,Kuwaity Dinar,1,468.51,470.46
2026-01-04 00:00:31,BHD,Bahrain Dinar,1,382.02,383.61
2026-01-04 00:00:31,OMR,Omani Rial,1,374.08,375.64
2026-01-05 00:00:51,INR,Indian Rupee,100,160.00,160.15
2026-01-05 00:00:51,USD,U.S. Dollar,1,144.02,144.62
2026-01-05 00:00:51,EUR,European Euro,1,168.79,169.49
2026-01-05 00:00:51,GBP,UK Pound Sterling,1,193.85,194.66
2026-01-05 00:00:51,CHF,Swiss Franc,1,181.77,182.53
2026-01-05 00:00:51,AUD,Australian Dollar,1,96.40,96.80
2026-01-05 00:00:51,CAD,Canadian Dollar,1,104.91,105.34
2026-01-05 00:00:51,SGD,Singapore Dollar,1,111.96,112.43
2026-01-05 00:00:51,JPY,Japanese Yen,10,9.18,9.22
2026-01-05 00:00:51,CNY,Chinese Yuan,1,20.59,20.68
2026-01-05 00:00:51,SAR,Saudi Arabian Riyal,1,38.40,38.56
2026-01-05 00:00:51,QAR,Qatari Riyal,1,39.40,39.57
2026-01-05 00:00:51,THB,Thai Baht,1,4.57,4.59
2026-01-05 00:00:51,AED,UAE Dirham,1,39.21,39.38
2026-01-05 00:00:51,MYR,Malaysian Ringgit,1,35.53,35.67
2026-01-05 00:00:51,KRW,South Korean Won,100,9.98,10.03
2026-01-05 00:00:51,SEK,Swedish Kroner,1,15.62,15.68
2026-01-05 00:00:51,DKK,Danish Kroner,1,22.60,22.69
2026-01-05 00:00:51,HKD,Hong Kong Dollar,1,18.48,18.56
2026-01-05 00:00:51,KWD,Kuwaity Dinar,1,468.46,470.42
2026-01-05 00:00:51,BHD,Bahrain Dinar,1,382.02,383.61
2026-01-05 00:00:51,OMR,Omani Rial,1,374.07,375.63
2026-01-06 00:00:19,INR,Indian Rupee,100,160.00,160.15
2026-01-06 00:00:19,USD,U.S. Dollar,1,144.15,144.75
2026-01-06 00:00:19,EUR,European Euro,1,168.40,169.10
2026-01-06 00:00:19,GBP,UK Pound Sterling,1,194.07,194.88
2026-01-06 00:00:19,CHF,Swiss Franc,1,181.30,182.05
2026-01-06 00:00:19,AUD,Australian Dollar,1,96.36,96.77
2026-01-06 00:00:19,CAD,Canadian Dollar,1,104.70,105.13
2026-01-06 00:00:19,SGD,Singapore Dollar,1,111.99,112.46
2026-01-06 00:00:19,JPY,Japanese Yen,10,9.20,9.24
2026-01-06 00:00:19,CNY,Chinese Yuan,1,20.64,20.73
2026-01-06 00:00:19,SAR,Saudi Arabian Riyal,1,38.43,38.59
2026-01-06 00:00:19,QAR,Qatari Riyal,1,39.55,39.71
2026-01-06 00:00:19,THB,Thai Baht,1,4.60,4.62
2026-01-06 00:00:19,AED,UAE Dirham,1,39.25,39.41
2026-01-06 00:00:19,MYR,Malaysian Ringgit,1,35.40,35.54
2026-01-06 00:00:19,KRW,South Korean Won,100,9.96,10.00
2026-01-06 00:00:19,SEK,Swedish Kroner,1,15.63,15.69
2026-01-06 00:00:19,DKK,Danish Kroner,1,22.54,22.64
2026-01-06 00:00:19,HKD,Hong Kong Dollar,1,18.51,18.59
2026-01-06 00:00:19,KWD,Kuwaity Dinar,1,469.06,471.01
2026-01-06 00:00:19,BHD,Bahrain Dinar,1,382.39,383.98
2026-01-06 00:00:19,OMR,Omani Rial,1,374.43,375.98
2026-01-07 00:00:55,INR,Indian Rupee,100,160.00,160.15
2026-01-07 00:00:55,USD,U.S. Dollar,1,143.97,144.57
2026-01-07 00:00:55,EUR,European Euro,1,168.57,169.28
2026-01-07 00:00:55,GBP,UK Pound Sterling,1,194.70,195.51
2026-01-07 00:00:55,CHF,Swiss Franc,1,181.54,182.30
2026-01-07 00:00:55,AUD,Australian Dollar,1,96.68,97.08
2026-01-07 00:00:55,CAD,Canadian Dollar,1,104.55,104.99
2026-01-07 00:00:55,SGD,Singapore Dollar,1,112.48,112.95
2026-01-07 00:00:55,JPY,Japanese Yen,10,9.20,9.24
2026-01-07 00:00:55,CNY,Chinese Yuan,1,20.61,20.70
2026-01-07 00:00:55,SAR,Saudi Arabian Riyal,1,38.39,38.55
2026-01-07 00:00:55,QAR,Qatari Riyal,1,39.39,39.55
2026-01-07 00:00:55,THB,Thai Baht,1,4.60,4.62
2026-01-07 00:00:55,AED,UAE Dirham,1,39.20,39.36
2026-01-07 00:00:55,MYR,Malaysian Ringgit,1,35.57,35.72
2026-01-07 00:00:55,KRW,South Korean Won,100,9.94,9.98
2026-01-07 00:00:55,SEK,Swedish Kroner,1,15.66,15.73
2026-01-07 00:00:55,DKK,Danish Kroner,1,22.56,22.65
2026-01-07 00:00:55,HKD,Hong Kong Dollar,1,18.49,18.56
2026-01-07 00:00:55,KWD,Kuwaity Dinar,1,468.43,470.38
2026-01-07 00:00:55,BHD,Bahrain Dinar,1,381.93,383.52
2026-01-07 00:00:55,OMR,Omani Rial,1,373.96,375.52
2026-01-08 00:00:12,INR,Indian Rupee,100,160.00,160.15
2026-01-08 00:00:12,USD,U.S. Dollar,1,143.52,144.12
2026-01-08 00:00:12,EUR,European Euro,1,167.77,168.48
2026-01-08 00:00:12,GBP,UK Pound Sterling,1,193.76,194.57
2026-01-08 00:00:12,CHF,Swiss Franc,1,180.26,181.01
2026-01-08 00:00:12,AUD,Australian Dollar,1,96.73,97.14
2026-01-08 00:00:12,CAD,Canadian Dollar,1,103.97,104.41
2026-01-08 00:00:12,SGD,Singapore Dollar,1,112.01,112.48
2026-01-08 00:00:12,JPY,Japanese Yen,10,9.17,9.21
2026-01-08 00:00:12,CNY,Chinese Yuan,1,20.49,20.58
2026-01-08 00:00:12,SAR,Saudi Arabian Riyal,1,38.27,38.43
2026-01-08 00:00:12,QAR,Qatari Riyal,1,39.37,39.54
2026-01-08 00:00:12,THB,Thai Baht,1,4.58,4.60
2026-01-08 00:00:12,AED,UAE Dirham,1,39.07,39.24
2026-01-08 00:00:12,MYR,Malaysian Ringgit,1,35.37,35.52
2026-01-08 00:00:12,KRW,South Korean Won,100,9.92,9.96
2026-01-08 00:00:12,SEK,Swedish Kroner,1,15.61,15.68
2026-01-08 00:00:12,DKK,Danish Kroner,1,22.45,22.55
2026-01-08 00:00:12,HKD,Hong Kong Dollar,1,18.43,18.51
2026-01-08 00:00:12,KWD,Kuwaity Dinar,1,469.79,471.75
2026-01-08 00:00:12,BHD,Bahrain Dinar,1,380.73,382.32
2026-01-08 00:00:12,OMR,Omani Rial,1,372.79,374.35
2026-01-09 00:00:58,INR,Indian Rupee,100,160.00,160.15
2026-01-09 00:00:58,USD,U.S. Dollar,1,143.74,144.34
2026-01-09 00:00:58,EUR,European Euro,1,167.85,168.55
2026-01-09 00:00:58,GBP,UK Pound Sterling,1,193.27,194.08
2026-01-09 00:00:58,CHF,Swiss Franc,1,180.29,181.05
2026-01-09 00:00:58,AUD,Australian Dollar,1,96.27,96.67
2026-01-09 00:00:58,CAD,Canadian Dollar,1,103.64,104.08
2026-01-09 00:00:58,SGD,Singapore Dollar,1,111.94,112.41
2026-01-09 00:00:58,JPY,Japanese Yen,10,9.17,9.21
2026-01-09 00:00:58,CNY,Chinese Yuan,1,20.58,20.67
2026-01-09 00:00:58,SAR,Saudi Arabian Riyal,1,38.33,38.49
2026-01-09 00:00:58,QAR,Qatari Riyal,1,39.43,39.60
2026-01-09 00:00:58,THB,Thai Baht,1,4.57,4.59
2026-01-09 00:00:58,AED,UAE Dirham,1,39.13,39.30
2026-01-09 00:00:58,MYR,Malaysian Ringgit,1,35.38,35.53
2026-01-09 00:00:58,KRW,South Korean Won,100,9.89,9.93
2026-01-09 00:00:58,SEK,Swedish Kroner,1,15.61,15.67
2026-01-09 00:00:58,DKK,Danish Kroner,1,22.46,22.56
2026-01-09 00:00:58,HKD,Hong Kong Dollar,1,18.45,18.52
2026-01-09 00:00:58,KWD,Kuwaity Dinar,1,470.35,472.32
2026-01-09 00:00:58,BHD,Bahrain Dinar,1,381.32,382.91
2026-01-09 00:00:58,OMR,Omani Rial,1,373.36,374.92
2026-01-10 00:00:45,INR,Indian Rupee,100,160.00,160.15
2026-01-10 00:00:45,USD,U.S. Dollar,1,143.97,144.57
2026-01-10 00:00:45,EUR,European Euro,1,167.65,168.35
2026-01-10 00:00:45,GBP,UK Pound Sterling,1,193.09,193.90
2026-01-10 00:00:45,CHF,Swiss Franc,1,180.02,180.77
2026-01-10 00:00:45,AUD,Australian Dollar,1,96.22,96.62
2026-01-10 00:00:45,CAD,Canadian Dollar,1,103.80,104.23
2026-01-10 00:00:45,SGD,Singapore Dollar,1,111.90,112.37
2026-01-10 00:00:45,JPY,Japanese Yen,10,9.13,9.17
2026-01-10 00:00:45,CNY,Chinese Yuan,1,20.62,20.71
2026-01-10 00:00:45,SAR,Saudi Arabian Riyal,1,38.39,38.55
2026-01-10 00:00:45,QAR,Qatari Riyal,1,39.39,39.55
2026-01-10 00:00:45,THB,Thai Baht,1,4.58,4.60
2026-01-10 00:00:45,AED,UAE Dirham,1,39.20,39.36
2026-01-10 00:00:45,MYR,Malaysian Ringgit,1,35.34,35.49
2026-01-10 00:00:45,KRW,South Korean Won,100,9.87,9.92
2026-01-10 00:00:45,SEK,Swedish Kroner,1,15.61,15.67
2026-01-10 00:00:45,DKK,Danish Kroner,1,22.44,22.53
2026-01-10 00:00:45,HKD,Hong Kong Dollar,1,18.47,18.55
2026-01-10 00:00:45,KWD,Kuwaity Dinar,1,471.11,473.07
2026-01-10 00:00:45,BHD,Bahrain Dinar,1,381.91,383.50
2026-01-10 00:00:45,OMR,Omani Rial,1,373.96,375.52
2026-01-11 00:00:40,INR,Indian Rupee,100,160.00,160.15
2026-01-11 00:00:40,USD,U.S. Dollar,1,143.97,144.57
2026-01-11 00:00:40,EUR,European Euro,1,167.65,168.35
2026-01-11 00:00:40,GBP,UK Pound Sterling,1,193.09,193.90
2026-01-11 00:00:40,CHF,Swiss Franc,1,180.02,180.77
2026-01-11 00:00:40,AUD,Australian Dollar,1,96.22,96.62
2026-01-11 00:00:40,CAD,Canadian Dollar,1,103.80,104.23
2026-01-11 00:00:40,SGD,Singapore Dollar,1,111.90,112.37
2026-01-11 00:00:40,JPY,Japanese Yen,10,9.13,9.17
2026-01-11 00:00:40,CNY,Chinese Yuan,1,20.62,20.71
2026-01-11 00:00:40,SAR,Saudi Arabian Riyal,1,38.39,38.55
2026-01-11 00:00:40,QAR,Qatari Riyal,1,39.39,39.55
2026-01-11 00:00:40,THB,Thai Baht,1,4.58,4.60
2026-01-11 00:00:40,AED,UAE Dirham,1,39.20,39.36
2026-01-11 00:00:40,MYR,Malaysian Ringgit,1,35.34,35.49
2026-01-11 00:00:40,KRW,South Korean Won,100,9.87,9.92
2026-01-11 00:00:40,SEK,Swedish Kroner,1,15.61,15.67
2026-01-11 00:00:40,DKK,Danish Kroner,1,22.44,22.53
2026-01-11 00:00:40,HKD,Hong Kong Dollar,1,18.47,18.55
2026-01-11 00:00:40,KWD,Kuwaity Dinar,1,471.11,473.07
2026-01-11 00:00:40,BHD,Bahrain Dinar,1,381.91,383.50
2026-01-11 00:00:40,OMR,Omani Rial,1,373.96,375.52
2026-01-12 00:00:01,INR,Indian Rupee,100,160.00,160.15
2026-01-12 00:00:01,USD,U.S. Dollar,1,143.97,144.57
2026-01-12 00:00:01,EUR,European Euro,1,167.55,168.25
2026-01-12 00:00:01,GBP,UK Pound Sterling,1,192.96,193.77
2026-01-12 00:00:01,CHF,Swiss Franc,1,179.66,180.41
2026-01-12 00:00:01,AUD,Australian Dollar,1,96.27,96.67
2026-01-12 00:00:01,CAD,Canadian Dollar,1,103.48,103.91
2026-01-12 00:00:01,SGD,Singapore Dollar,1,111.82,112.29
2026-01-12 00:00:01,JPY,Japanese Yen,10,9.12,9.16
2026-01-12 00:00:01,CNY,Chinese Yuan,1,20.63,20.72
2026-01-12 00:00:01,SAR,Saudi Arabian Riyal,1,38.39,38.55
2026-01-12 00:00:01,QAR,Qatari Riyal,1,39.39,39.55
2026-01-12 00:00:01,THB,Thai Baht,1,4.59,4.61
2026-01-12 00:00:01,AED,UAE Dirham,1,39.20,39.36
2026-01-12 00:00:01,MYR,Malaysian Ringgit,1,35.34,35.49
2026-01-12 00:00:01,KRW,South Korean Won,100,9.88,9.92
2026-01-12 00:00:01,SEK,Swedish Kroner,1,15.64,15.70
2026-01-12 00:00:01,DKK,Danish Kroner,1,22.42,22.51
2026-01-12 00:00:01,HKD,Hong Kong Dollar,1,18.47,18.55
2026-01-12 00:00:01,KWD,Kuwaity Dinar,1,470.80,472.76
2026-01-12 00:00:01,BHD,Bahrain Dinar,1,381.91,383.50
2026-01-12 00:00:01,OMR,Omani Rial,1,373.93,375.49
2026-01-13 00:00:39,INR,Indian Rupee,100,160.00,160.15
2026-01-13 00:00:39,USD,U.S. Dollar,1,143.95,144.55
2026-01-13 00:00:39,EUR,European Euro,1,168.24,168.94
2026-01-13 00:00:39,GBP,UK Pound Sterling,1,193.90,194.71
2026-01-13 00:00:39,CHF,Swiss Franc,1,180.64,181.39
2026-01-13 00:00:39,AUD,Australian Dollar,1,96.58,96.98
2026-01-13 00:00:39,CAD,Canadian Dollar,1,103.75,104.18
2026-01-13 00:00:39,SGD,Singapore Dollar,1,111.94,112.41
2026-01-13 00:00:39,JPY,Japanese Yen,10,9.12,9.16
2026-01-13 00:00:39,CNY,Chinese Yuan,1,20.64,20.73
2026-01-13 00:00:39,SAR,Saudi Arabian Riyal,1,38.39,38.55
2026-01-13 00:00:39,QAR,Qatari Riyal,1,39.38,39.55
2026-01-13 00:00:39,THB,Thai Baht,1,4.60,4.62
2026-01-13 00:00:39,AED,UAE Dirham,1,39.19,39.35
2026-01-13 00:00:39,MYR,Malaysian Ringgit,1,35.43,35.58
2026-01-13 00:00:39,KRW,South Korean Won,100,9.81,9.85
2026-01-13 00:00:39,SEK,Swedish Kroner,1,15.69,15.76
2026-01-13 00:00:39,DKK,Danish Kroner,1,22.51,22.61
2026-01-13 00:00:39,HKD,Hong Kong Dollar,1,18.46,18.54
2026-01-13 00:00:39,KWD,Kuwaity Dinar,1,470.73,472.69
2026-01-13 00:00:39,BHD,Bahrain Dinar,1,381.86,383.45
2026-01-13 00:00:39,OMR,Omani Rial,1,373.91,375.46
2026-01-14 00:00:23,INR,Indian Rupee,100,160.00,160.15
2026-01-14 00:00:23,USD,U.S. Dollar,1,144.01,144.61
2026-01-14 00:00:23,EUR,European Euro,1,168.03,168.73
2026-01-14 00:00:23,GBP,UK Pound Sterling,1,194.00,194.81
2026-01-14 00:00:23,CHF,Swiss Franc,1,180.38,181.14
2026-01-14 00:00:23,AUD,Australian Dollar,1,96.47,96.87
2026-01-14 00:00:23,CAD,Canadian Dollar,1,103.73,104.17
2026-01-14 00:00:23,SGD,Singapore Dollar,1,111.87,112.34
2026-01-14 00:00:23,JPY,Japanese Yen,10,9.06,9.10
2026-01-14 00:00:23,CNY,Chinese Yuan,1,20.64,20.73
2026-01-14 00:00:23,SAR,Saudi Arabian Riyal,1,38.40,38.56
2026-01-14 00:00:23,QAR,Qatari Riyal,1,39.40,39.56
2026-01-14 00:00:23,THB,Thai Baht,1,4.58,4.60
2026-01-14 00:00:23,AED,UAE Dirham,1,39.21,39.37
2026-01-14 00:00:23,MYR,Malaysian Ringgit,1,35.49,35.64
2026-01-14 00:00:23,KRW,South Korean Won,100,9.77,9.81
2026-01-14 00:00:23,SEK,Swedish Kroner,1,15.69,15.76
2026-01-14 00:00:23,DKK,Danish Kroner,1,22.49,22.58
2026-01-14 00:00:23,HKD,Hong Kong Dollar,1,18.46,18.53
2026-01-14 00:00:23,KWD,Kuwaity Dinar,1,470.93,472.89
2026-01-14 00:00:23,BHD,Bahrain Dinar,1,382.00,383.60
2026-01-14 00:00:23,OMR,Omani Rial,1,374.05,375.61
2026-01-15 00:00:18,INR,Indian Rupee,100,160.00,160.15
2026-01-15 00:00:18,USD,U.S. Dollar,1,144.18,144.78
2026-01-15 00:00:18,EUR,European Euro,1,167.94,168.64
2026-01-15 00:00:18,GBP,UK Pound Sterling,1,193.88,194.69
2026-01-15 00:00:18,CHF,Swiss Franc,1,179.94,180.69
2026-01-15 00:00:18,AUD,Australian Dollar,1,96.31,96.71
2026-01-15 00:00:18,CAD,Canadian Dollar,1,103.82,104.25
2026-01-15 00:00:18,SGD,Singapore Dollar,1,111.95,112.41
2026-01-15 00:00:18,JPY,Japanese Yen,10,9.08,9.12
2026-01-15 00:00:18,CNY,Chinese Yuan,1,20.68,20.76
2026-01-15 00:00:18,SAR,Saudi Arabian Riyal,1,38.44,38.60
2026-01-15 00:00:18,QAR,Qatari Riyal,1,39.45,39.61
2026-01-15 00:00:18,THB,Thai Baht,1,4.58,4.60
2026-01-15 00:00:18,AED,UAE Dirham,1,39.25,39.42
2026-01-15 00:00:18,MYR,Malaysian Ringgit,1,35.62,35.77
2026-01-15 00:00:18,KRW,South Korean Won,100,9.77,9.81
2026-01-15 00:00:18,SEK,Swedish Kroner,1,15.66,15.73
2026-01-15 00:00:18,DKK,Danish Kroner,1,22.48,22.57
2026-01-15 00:00:18,HKD,Hong Kong Dollar,1,18.49,18.57
2026-01-15 00:00:18,KWD,Kuwaity Dinar,1,471.48,473.45
2026-01-15 00:00:18,BHD,Bahrain Dinar,1,382.40,384.00
2026-01-15 00:00:18,OMR,Omani Rial,1,374.51,376.07
2026-01-16 00:00:58,INR,Indian Rupee,100,160.00,160.15
2026-01-16 00:00:58,USD,U.S. Dollar,1,144.18,144.78
2026-01-16 00:00:58,EUR,European Euro,1,167.74,168.44
2026-01-16 00:00:58,GBP,UK Pound Sterling,1,193.53,194.33
2026-01-16 00:00:58,CHF,Swiss Franc,1,180.07,180.82
2026-01-16 00:00:58,AUD,Australian Dollar,1,96.57,96.97
2026-01-16 00:00:58,CAD,Canadian Dollar,1,103.74,104.17
2026-01-16 00:00:58,SGD,Singapore Dollar,1,112.00,112.47
2026-01-16 00:00:58,JPY,Japanese Yen,10,9.10,9.13
2026-01-16 00:00:58,CNY,Chinese Yuan,1,20.69,20.78
2026-01-16 00:00:58,SAR,Saudi Arabian Riyal,1,38.44,38.60
2026-01-16 00:00:58,QAR,Qatari Riyal,1,39.45,39.61
2026-01-16 00:00:58,THB,Thai Baht,1,4.60,4.62
2026-01-16 00:00:58,AED,UAE Dirham,1,39.25,39.42
2026-01-16 00:00:58,MYR,Malaysian Ringgit,1,35.56,35.71
2026-01-16 00:00:58,KRW,South Korean Won,100,9.82,9.86
2026-01-16 00:00:58,SEK,Swedish Kroner,1,15.68,15.75
2026-01-16 00:00:58,DKK,Danish Kroner,1,22.45,22.54
2026-01-16 00:00:58,HKD,Hong Kong Dollar,1,18.49,18.56
2026-01-16 00:00:58,KWD,Kuwaity Dinar,1,471.48,473.45
2026-01-16 00:00:58,BHD,Bahrain Dinar,1,382.43,384.02
2026-01-16 00:00:58,OMR,Omani Rial,1,374.51,376.07
2026-01-17 00:00:30,INR,Indian Rupee,100,160.00,160.15
2026-01-17 00:00:30,USD,U.S. Dollar,1,145.09,145.69
2026-01-17 00:00:30,EUR,European Euro,1,168.59,169.29
2026-01-17 00:00:30,GBP,UK Pound Sterling,1,194.51,195.31
2026-01-17 00:00:30,CHF,Swiss Franc,1,180.97,181.71
2026-01-17 00:00:30,AUD,Australian Dollar,1,97.32,97.72
2026-01-17 00:00:30,CAD,Canadian Dollar,1,104.49,104.92
2026-01-17 00:00:30,SGD,Singapore Dollar,1,112.70,113.16
2026-01-17 00:00:30,JPY,Japanese Yen,10,9.18,9.21
2026-01-17 00:00:30,CNY,Chinese Yuan,1,20.82,20.90
2026-01-17 00:00:30,SAR,Saudi Arabian Riyal,1,38.69,38.85
2026-01-17 00:00:30,QAR,Qatari Riyal,1,39.83,40.00
2026-01-17 00:00:30,THB,Thai Baht,1,4.62,4.64
2026-01-17 00:00:30,AED,UAE Dirham,1,39.50,39.67
2026-01-17 00:00:30,MYR,Malaysian Ringgit,1,35.76,35.91
2026-01-17 00:00:30,KRW,South Korean Won,100,9.85,9.89
2026-01-17 00:00:30,SEK,Swedish Kroner,1,15.74,15.81
2026-01-17 00:00:30,DKK,Danish Kroner,1,22.56,22.66
2026-01-17 00:00:30,HKD,Hong Kong Dollar,1,18.60,18.68
2026-01-17 00:00:30,KWD,Kuwaity Dinar,1,474.46,476.42
2026-01-17 00:00:30,BHD,Bahrain Dinar,1,384.85,386.44
2026-01-17 00:00:30,OMR,Omani Rial,1,376.87,378.43
2026-01-18 00:00:56,INR,Indian Rupee,100,160.00,160.15
2026-01-18 00:00:56,USD,U.S. Dollar,1,145.09,145.69
2026-01-18 00:00:56,EUR,European Euro,1,168.59,169.29
2026-01-18 00:00:56,GBP,UK Pound Sterling,1,194.51,195.31
2026-01-18 00:00:56,CHF,Swiss Franc,1,180.97,181.71
2026-01-18 00:00:56,AUD,Australian Dollar,1,97.32,97.72
2026-01-18 00:00:56,CAD,Canadian Dollar,1,104.49,104.92
2026-01-18 00:00:56,SGD,Singapore Dollar,1,112.70,113.16
2026-01-18 00:00:56,JPY,Japanese Yen,10,9.18,9.21
2026-01-18 00:00:56,CNY,Chinese Yuan,1,20.82,20.90
2026-01-18 00:00:56,SAR,Saudi Arabian Riyal,1,38.69,38.85
2026-01-18 00:00:56,QAR,Qatari Riyal,1,39.83,40.00
2026-01-18 00:00:56,THB,Thai Baht,1,4.62,4.64
2026-01-18 00:00:56,AED,UAE Dirham,1,39.50,39.67
2026-01-18 00:00:56,MYR,Malaysian Ringgit,1,35.76,35.91
2026-01-18 00:00:56,KRW,South Korean Won,100,9.85,9.89
